City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-gentil,-0.7193,8.7815,78.76,94,75,4.61,GA,2023-02-02 06:54:26
1,port elizabeth,-33.918,25.5701,75.09,74,0,10.36,ZA,2023-02-02 06:54:27
2,shatoy,42.8714,45.6886,38.93,73,100,1.1,RU,2023-02-02 06:54:28
3,hithadhoo,-0.6,73.0833,81.46,73,41,17.58,MV,2023-02-02 06:54:29
4,mount vernon,40.9126,-73.8371,31.66,53,75,9.22,US,2023-02-02 06:54:30
5,mar del plata,-38.0023,-57.5575,70.88,87,100,11.01,AR,2023-02-02 06:54:30
6,yellowknife,62.456,-114.3525,-35.45,74,0,5.75,CA,2023-02-02 06:54:31
7,mataura,-46.1927,168.8643,69.53,85,100,2.15,NZ,2023-02-02 06:54:32
8,el alto,-4.2714,-81.2147,74.25,79,100,7.11,PE,2023-02-02 06:54:33
9,nisia floresta,-6.0911,-35.2086,77.38,82,91,6.4,BR,2023-02-02 06:53:08
10,chokurdakh,70.6333,147.9167,-7.42,99,100,3.98,RU,2023-02-02 06:54:34
11,bluff,-46.6,168.3333,64.24,92,100,7.36,NZ,2023-02-02 06:54:35
12,puerto ayora,-0.7393,-90.3518,77.56,97,97,1.5,EC,2023-02-02 06:54:36
13,fort nelson,58.8053,-122.7002,-15.21,70,0,3.44,CA,2023-02-02 06:54:36
14,bud,39.447,-86.1758,25.86,66,100,4.59,US,2023-02-02 06:54:37
15,busselton,-33.65,115.3333,86.67,29,5,5.39,AU,2023-02-02 06:54:37
16,hermanus,-34.4187,19.2345,67.8,69,3,6.62,ZA,2023-02-02 06:54:38
17,gayny,60.3071,54.3241,12.76,91,98,4.94,RU,2023-02-02 06:54:39
18,hilo,19.7297,-155.09,77.29,91,100,3.0,US,2023-02-02 06:53:23
19,mount pleasant,32.7941,-79.8626,55.0,97,100,5.75,US,2023-02-02 06:51:18
20,albany,42.6001,-73.9662,20.44,67,100,1.01,US,2023-02-02 06:51:56
21,faanui,-16.4833,-151.75,81.68,76,7,19.71,PF,2023-02-02 06:54:41
22,petropavlovsk-kamchatskiy,53.0452,158.6483,5.59,66,0,4.47,RU,2023-02-02 06:54:41
23,kuytun,54.3419,101.5036,14.56,87,100,6.15,RU,2023-02-02 06:54:42
24,saint george,37.1041,-113.5841,36.19,56,0,1.01,US,2023-02-02 06:54:43
25,torbay,47.6666,-52.7314,13.26,87,40,3.44,CA,2023-02-02 06:54:43
26,avarua,-21.2078,-159.775,73.45,94,100,9.22,CK,2023-02-02 06:50:45
27,turukhansk,65.8167,87.9833,11.34,95,100,8.59,RU,2023-02-02 06:54:44
28,beira,-19.8436,34.8389,82.49,69,75,7.0,MZ,2023-02-02 06:54:45
29,san cristobal,7.7669,-72.225,59.97,86,10,1.61,VE,2023-02-02 06:54:46
30,ushuaia,-54.8,-68.3,51.46,82,40,3.44,AR,2023-02-02 06:53:00
31,asau,46.4333,26.4,31.28,83,99,7.58,RO,2023-02-02 06:54:47
32,kudahuvadhoo,2.6708,72.8944,80.38,64,7,12.73,MV,2023-02-02 06:54:48
33,khatanga,71.9667,102.5,-17.63,98,100,5.55,RU,2023-02-02 06:54:48
34,wajir,1.7471,40.0573,78.76,69,40,11.5,KE,2023-02-02 06:54:49
35,port alfred,-33.5906,26.891,74.17,72,18,1.99,ZA,2023-02-02 06:54:16
36,douglas,41.3,-96.167,25.68,79,0,4.61,US,2023-02-02 06:51:27
37,esperance,-33.8667,121.9,67.69,73,86,13.78,AU,2023-02-02 06:54:51
38,chuy,-33.6971,-53.4616,69.78,80,98,4.83,UY,2023-02-02 06:54:51
39,palmer,42.1584,-72.3287,22.62,71,0,4.61,US,2023-02-02 06:54:52
40,strezhevoy,60.7333,77.5889,14.41,96,100,4.81,RU,2023-02-02 06:54:52
41,rondonopolis,-16.4708,-54.6356,71.24,94,94,2.26,BR,2023-02-02 06:54:53
42,butaritari,3.0707,172.7902,80.49,79,100,20.27,KI,2023-02-02 06:54:54
43,trybukhivtsi,49.0436,25.4581,31.75,86,100,5.66,UA,2023-02-02 06:54:54
44,ribeira grande,38.5167,-28.7,52.77,80,9,3.0,PT,2023-02-02 06:54:55
45,port macquarie,-31.4333,152.9167,80.89,72,8,14.81,AU,2023-02-02 06:54:56
46,sao joao da barra,-21.6403,-41.0511,73.6,91,45,9.62,BR,2023-02-02 06:53:55
47,san quintin,30.4833,-115.95,54.72,65,0,1.95,MX,2023-02-02 06:54:57
48,provideniya,64.3833,-173.3,13.98,94,75,12.06,RU,2023-02-02 06:54:58
49,tombouctou,20.0,-3.0,56.71,18,100,10.36,ML,2023-02-02 06:54:59
50,airai,-8.9266,125.4092,67.21,87,91,3.24,TL,2023-02-02 06:55:00
51,klaksvik,62.2266,-6.589,38.32,69,100,17.31,FO,2023-02-02 06:55:00
52,bakel,14.905,-12.4568,68.58,12,1,8.25,SN,2023-02-02 06:55:01
53,dhidhdhoo,6.8833,73.1,80.33,72,100,11.74,MV,2023-02-02 06:55:01
54,kapaa,22.0752,-159.319,75.52,90,75,9.22,US,2023-02-02 06:55:02
55,manitowoc,44.0667,-87.8001,22.37,63,75,12.66,US,2023-02-02 06:55:04
56,kensington,-33.9167,151.2167,96.03,69,75,25.32,AU,2023-02-02 06:55:04
57,dikson,73.5069,80.5464,2.1,95,100,8.57,RU,2023-02-02 06:55:06
58,grindavik,63.8424,-22.4338,36.07,93,100,42.57,IS,2023-02-02 06:55:07
59,hobart,-42.8794,147.3294,57.25,83,75,11.5,AU,2023-02-02 06:55:07
60,dingle,10.9995,122.6711,82.9,75,38,15.17,PH,2023-02-02 06:55:08
61,kemijarvi,66.7131,27.4306,23.16,95,100,8.39,FI,2023-02-02 06:55:09
62,muravlenko,63.7898,74.523,15.22,94,27,13.78,RU,2023-02-02 06:55:10
63,deqing,30.5448,119.9599,46.72,52,100,5.19,CN,2023-02-02 06:55:11
64,atuona,-9.8,-139.0333,79.03,80,100,19.04,PF,2023-02-02 06:55:12
65,coos bay,43.3665,-124.2179,43.14,96,0,6.91,US,2023-02-02 06:50:54
66,new norfolk,-42.7826,147.0587,56.91,74,100,1.01,AU,2023-02-02 06:55:15
67,bredasdorp,-34.5322,20.0403,70.75,60,4,2.62,ZA,2023-02-02 06:55:15
68,arraial do cabo,-22.9661,-42.0278,74.71,92,100,12.46,BR,2023-02-02 06:50:35
69,rikitea,-23.1203,-134.9692,79.21,69,0,15.46,PF,2023-02-02 06:55:17
70,berdigestyakh,62.0989,126.6992,-16.42,98,100,3.69,RU,2023-02-02 06:55:18
71,ewa beach,21.3156,-158.0072,75.15,77,40,5.75,US,2023-02-02 06:55:18
72,sterling,39.0062,-77.4286,30.58,77,75,1.01,US,2023-02-02 06:53:43
73,batagay-alyta,67.8006,130.4114,-22.16,100,100,0.69,RU,2023-02-02 06:55:20
74,qaanaaq,77.484,-69.3632,-5.44,55,5,8.99,GL,2023-02-02 06:55:21
75,nome,64.5011,-165.4064,19.47,100,100,10.36,US,2023-02-02 06:55:22
76,cape town,-33.9258,18.4232,73.09,56,0,12.66,ZA,2023-02-02 06:55:23
77,vertou,47.1687,-1.4693,44.06,81,100,3.44,FR,2023-02-02 06:55:24
78,salamiyah,35.0113,37.0532,46.09,57,3,26.84,SY,2023-02-02 06:55:24
79,cabo san lucas,22.8909,-109.9124,64.51,74,79,8.16,MX,2023-02-02 06:55:25
80,thompson,55.7435,-97.8558,-25.44,62,20,12.66,CA,2023-02-02 06:55:26
81,pevek,69.7008,170.3133,-8.54,97,79,1.41,RU,2023-02-02 06:55:26
82,ponta do sol,32.6667,-17.1,61.43,62,90,9.78,PT,2023-02-02 06:55:27
83,san patricio,28.017,-97.5169,39.07,89,100,8.97,US,2023-02-02 06:55:28
84,caravelas,-17.7125,-39.2481,73.17,92,6,4.09,BR,2023-02-02 06:55:28
85,chandler,33.3062,-111.8412,53.13,49,0,3.44,US,2023-02-02 06:52:16
86,ancud,-41.8697,-73.8203,49.86,88,17,4.25,CL,2023-02-02 06:55:29
87,neiafu,-18.65,-173.9833,81.28,83,75,8.05,TO,2023-02-02 06:55:30
88,punta arenas,-53.15,-70.9167,51.91,71,0,5.75,CL,2023-02-02 06:50:36
89,kousseri,12.0769,15.0306,66.16,22,67,9.22,CM,2023-02-02 06:55:31
90,castro,-24.7911,-50.0119,65.21,95,100,3.65,BR,2023-02-02 06:55:32
91,virginia beach,36.8529,-75.978,39.22,69,100,1.01,US,2023-02-02 06:55:33
92,parral,26.9333,-105.6667,44.29,74,0,4.88,MX,2023-02-02 06:54:09
93,east london,-33.0153,27.9116,74.34,73,0,9.22,ZA,2023-02-02 06:55:34
94,esso,55.9333,158.7,-8.03,91,4,4.41,RU,2023-02-02 06:55:34
95,tuktoyaktuk,69.4541,-133.0374,-32.8,68,75,4.61,CA,2023-02-02 06:55:36
96,pokhara,28.2333,83.9833,74.46,17,3,7.43,NP,2023-02-02 06:55:36
97,ahipara,-35.1667,173.1667,71.55,89,78,6.89,NZ,2023-02-02 06:55:37
98,buncrana,55.1333,-7.45,49.77,85,100,20.42,IE,2023-02-02 06:55:37
99,tahe,52.3333,124.7333,9.1,67,7,7.7,CN,2023-02-02 06:55:38
100,port augusta,-32.5,137.7667,77.16,37,33,22.35,AU,2023-02-02 06:55:39
101,barrow,71.2906,-156.7887,-5.78,77,0,23.02,US,2023-02-02 06:55:39
102,saint-philippe,-21.3585,55.7679,85.59,72,0,8.43,RE,2023-02-02 06:55:40
103,jamestown,42.097,-79.2353,20.55,79,0,10.36,US,2023-02-02 06:51:54
104,lompoc,34.6391,-120.4579,44.58,92,0,10.36,US,2023-02-02 06:55:42
105,nelson bay,-32.7167,152.15,86.05,74,10,17.0,AU,2023-02-02 06:55:43
106,montbrison,45.6667,4.0833,35.94,89,93,4.83,FR,2023-02-02 06:55:43
107,vardo,70.3705,31.1107,28.38,74,20,16.11,NO,2023-02-02 06:55:44
108,ulladulla,-35.35,150.4667,84.74,37,64,6.13,AU,2023-02-02 06:55:45
109,victoria,22.2855,114.1577,75.96,70,63,18.01,HK,2023-02-02 06:50:52
110,puerto del rosario,28.5004,-13.8627,64.15,55,20,16.11,ES,2023-02-02 06:55:46
111,marystown,47.1666,-55.1483,15.51,75,100,6.22,CA,2023-02-02 06:55:46
112,sur,22.5667,59.5289,73.42,53,5,6.13,OM,2023-02-02 06:55:47
113,vaini,-21.2,-175.2,82.56,78,75,12.66,TO,2023-02-02 06:55:48
114,dwarka,22.2394,68.9678,73.85,40,5,10.89,IN,2023-02-02 06:55:48
115,yerofey pavlovich,53.9667,121.9667,6.66,76,19,4.54,RU,2023-02-02 06:55:49
116,vao,-22.6667,167.4833,80.44,74,71,6.33,NC,2023-02-02 06:55:49
117,nikolskoye,59.7035,30.7861,28.29,94,100,5.48,RU,2023-02-02 06:55:50
118,tasiilaq,65.6145,-37.6368,23.16,61,100,40.29,GL,2023-02-02 06:55:51
119,doka,13.5167,35.7667,77.72,28,0,15.28,SD,2023-02-02 06:55:51
120,asaba,6.2006,6.7338,79.56,79,8,2.24,NG,2023-02-02 06:54:38
121,bac lieu,9.285,105.7244,84.49,64,31,20.24,VN,2023-02-02 06:55:52
122,doha,25.2867,51.5333,76.98,50,0,2.3,QA,2023-02-02 06:53:30
123,ust-nera,64.5667,143.2,-22.79,99,98,0.81,RU,2023-02-02 06:55:53
124,lowestoft,52.4752,1.7516,43.5,87,32,17.38,GB,2023-02-02 06:55:54
125,iqaluit,63.7506,-68.5145,-33.07,61,20,2.3,CA,2023-02-02 06:55:54
126,ambulu,-8.345,113.6058,82.08,73,100,3.89,ID,2023-02-02 06:55:55
127,miracema do tocantins,-9.5618,-48.3967,70.84,96,100,1.72,BR,2023-02-02 06:55:56
128,georgetown,5.4112,100.3354,91.35,58,20,8.05,MY,2023-02-02 06:55:38
129,severo-kurilsk,50.6789,156.125,25.14,71,100,18.34,RU,2023-02-02 06:53:59
130,saldanha,-33.0117,17.9442,62.65,77,0,14.85,ZA,2023-02-02 06:55:57
131,taoudenni,22.6783,-3.9836,52.48,24,100,12.64,ML,2023-02-02 06:55:58
132,kargil,34.5667,76.1,11.98,67,100,1.1,IN,2023-02-02 06:55:58
133,coolum beach,-26.5333,153.1,80.33,90,93,5.79,AU,2023-02-02 06:55:59
134,progreso,21.2833,-89.6667,72.1,84,3,8.68,MX,2023-02-02 06:56:00
135,wangou,42.0623,126.9127,13.91,66,46,5.59,CN,2023-02-02 06:56:00
136,terrace bay,48.7834,-87.1,7.77,95,100,11.45,CA,2023-02-02 06:56:01
137,olinda,-8.0089,-34.8553,80.33,74,40,5.75,BR,2023-02-02 06:56:02
138,latung,5.5,120.8833,81.77,72,49,4.76,PH,2023-02-02 06:56:02
139,adrar,20.5022,-10.0711,56.25,19,96,11.88,MR,2023-02-02 06:56:03
140,upernavik,72.7868,-56.1549,-15.66,91,99,4.38,GL,2023-02-02 06:56:04
141,narsaq,60.9167,-46.05,16.02,96,100,1.83,GL,2023-02-02 06:56:05
142,mahebourg,-20.4081,57.7,86.25,74,40,6.91,MU,2023-02-02 06:56:06
143,abonnema,4.7084,6.7931,80.35,79,48,0.31,NG,2023-02-02 06:56:07
144,port hardy,50.6996,-127.4199,41.18,87,100,18.41,CA,2023-02-02 06:56:07
145,anadyr,64.75,177.4833,25.3,86,40,13.42,RU,2023-02-02 06:56:08
146,lebu,-37.6167,-73.65,55.38,88,5,19.24,CL,2023-02-02 06:56:09
147,half moon bay,37.4636,-122.4286,50.31,66,0,0.0,US,2023-02-02 06:53:08
148,lugovoy,42.9472,72.7644,37.9,97,100,3.33,KZ,2023-02-02 06:56:10
149,porto nacional,-10.7081,-48.4172,77.0,92,100,1.9,BR,2023-02-02 06:56:11
150,finschhafen,-6.6024,147.8681,84.52,76,100,9.46,PG,2023-02-02 06:56:12
151,umm kaddadah,13.6017,26.6876,65.62,21,29,23.11,SD,2023-02-02 06:56:13
152,ilulissat,69.2167,-51.1,10.42,48,100,11.5,GL,2023-02-02 06:56:14
153,anjozorobe,-18.4,47.8667,71.06,71,82,9.22,MG,2023-02-02 06:56:14
154,kodiak,57.79,-152.4072,31.51,86,100,5.75,US,2023-02-02 06:56:16
155,znin,52.8496,17.7199,38.12,97,100,19.28,PL,2023-02-02 06:56:17
156,capinzal,-27.3436,-51.6119,68.74,90,55,2.13,BR,2023-02-02 06:56:17
157,laguna,38.421,-121.4238,49.08,78,0,4.61,US,2023-02-02 06:56:18
158,belaya gora,68.5333,146.4167,-16.74,99,94,3.71,RU,2023-02-02 06:56:19
159,harsin,34.2721,47.5861,40.01,83,66,5.3,IR,2023-02-02 06:56:20
160,porto velho,-8.7619,-63.9039,75.25,94,0,0.0,BR,2023-02-02 06:56:20
161,geraldton,-28.7667,114.6,99.01,26,21,21.85,AU,2023-02-02 06:56:21
162,saint-francois,46.4154,3.9054,37.67,93,100,2.3,FR,2023-02-02 06:54:52
163,pochutla,15.7432,-96.4661,71.82,66,0,3.33,MX,2023-02-02 06:56:22
164,huarmey,-10.0681,-78.1522,71.04,84,100,5.19,PE,2023-02-02 06:56:23
165,elliot lake,46.3834,-82.6331,2.1,98,84,2.19,CA,2023-02-02 06:56:24
166,ushtobe,45.2514,77.9838,27.0,74,100,7.9,KZ,2023-02-02 06:56:24
167,bubaque,11.2833,-15.8333,76.93,46,4,16.8,GW,2023-02-02 06:56:25
168,bethel,41.3712,-73.414,27.48,66,0,3.44,US,2023-02-02 06:56:26
169,gore,-46.1028,168.9436,69.75,87,100,1.63,NZ,2023-02-02 06:56:26
170,souillac,-20.5167,57.5167,84.58,74,40,6.91,MU,2023-02-02 06:56:27
171,lagoa,39.05,-27.9833,56.53,69,6,9.64,PT,2023-02-02 06:56:28
172,farau,46.3333,24.0167,35.78,96,100,12.64,RO,2023-02-02 06:56:29
173,beloha,-25.1667,45.05,82.8,56,12,12.35,MG,2023-02-02 06:56:29
174,pisco,-13.7,-76.2167,71.65,83,0,11.5,PE,2023-02-02 06:56:30
175,aguimes,27.9054,-15.4461,58.66,67,20,8.99,ES,2023-02-02 06:56:30
176,college,64.8569,-147.8028,11.59,83,100,4.61,US,2023-02-02 06:56:32
177,clyde river,70.4692,-68.5914,-28.97,68,0,6.91,CA,2023-02-02 06:56:33
178,katangli,51.7102,143.2326,-7.83,91,100,6.6,RU,2023-02-02 06:56:33
179,lazaro cardenas,17.9583,-102.2,70.86,72,0,4.16,MX,2023-02-02 06:56:34
180,ashcroft,50.7165,-121.2859,32.49,97,100,3.24,CA,2023-02-02 06:56:35
181,dunedin,-45.8742,170.5036,70.81,84,100,4.0,NZ,2023-02-02 06:56:36
182,udachnyy,66.4167,112.4,-24.0,100,95,4.74,RU,2023-02-02 06:56:36
183,beboto,8.2668,16.939,80.31,17,3,6.55,TD,2023-02-02 06:56:37
184,lorengau,-2.0226,147.2712,84.04,69,75,6.33,PG,2023-02-02 06:56:38
185,cockburn town,21.4612,-71.1419,77.4,66,0,18.66,TC,2023-02-02 06:56:39
186,kuna,43.4918,-116.4201,25.36,73,0,8.05,US,2023-02-02 06:56:39
187,tarko-sale,64.9225,77.785,12.09,95,85,10.56,RU,2023-02-02 06:56:40
188,lavrentiya,65.5833,-171.0,6.31,96,100,7.54,RU,2023-02-02 06:56:40
189,mykolayivka,47.5414,30.7561,34.03,68,99,5.73,UA,2023-02-02 06:56:41
190,pacific grove,36.6177,-121.9166,46.65,90,0,3.44,US,2023-02-02 06:56:42
191,balabac,7.9868,117.0645,82.15,78,12,16.69,PH,2023-02-02 06:56:43
192,kangaatsiaq,68.3065,-53.4641,-2.25,94,100,14.56,GL,2023-02-02 06:56:43
193,saskylakh,71.9167,114.0833,-18.51,100,100,5.12,RU,2023-02-02 06:56:44
